id,description,rank_score
138044832," do you watch the tv show mountain men and want to learn how to use the traps they use to live  ?  then this class is for you deadfalls and snares are the main stay of traps for survival situations . procuring valuable proteins and fats is essential for long term survival this class is going to cover various traps  ,  both primitive and commercial  ,  you can use for emergency situations . we will cover  :  commercial traps spring snares primitive deadfalls box traps trap placement laws regarding trapping ... and more  !   !   !  bring a pocket knife you can use to whittle wood bring appropriate clothing bring something to drink  (  water  ,  gatorade  ,  etc.  )  location  :  please use this maplink for directions.. . not mapquest  ,  or your own gps unit  ,  as they will not take you to the right place . off of badillo st  ,  in san dimas  :  go south on lyman about 1 4 mile left on scarborough ln drive down the street to the end . cross the small bridge and enter the dirt parking lot area on the right the map shows the route with a red line and the parking is in blue . if the parking lot is full  ,  please park on scarborough ln . for those that would like to punch it into their gps  ,  the nearest address is 1945 scarborough ln san dimas  ,  ca this address is only for gps reference only . do not enter the residence driveway . park in the dirt lot to the right the class begins promptly at 10am ",0.774
qvkzwgytmbrb, we often have 6 people play with us show that did  n't rvsp so we never know how many are showing up . i bring 4 6 balls but it helps if you bring yours also so we get more drills before we play . sometimes traffic and parking are horrible . i try to setup courts at 2 pm but sometimes tournaments take up courts . other times so many are using courts i cannot put up a flag till 2  :  3o . if you do  n't see the flag call me masked 6415 . cell does not ring loud so you may need to call back a few times . also need to setup message center to accept messages . hope to cure this soon . lets have fun. ,0.506
42137292," every second thursday morning we will network from 7.30am until 9am at the microsoft store in century city and focus all our attention on increasing your business and referrals . this will be done through networking  ,  presenting and learning and you will walk away from every event with new business meetings lined up or valuable learns on how to function better . we have a real treat in our first january meeting of the 12th  ,  as just prior to your pitching you will have 15 minutes training on ultimate communication how to increase the effectiveness of your message by 100 by renouned trainer  ,  speaker and results coach pina de rosa  ,  m . c . ht . you will then spend the rest of the session pitching to your collegues under the watchful eye of pina so you get it right and come away with new business at the same time . pina will teach you how to be more effective as a communicator as well as give you 4 simple steps to communicate your service product even more powerfully such that people will see it  ,  hear it and buy it . it will be a powerful workshop and pitching session filled with value  ,  instantly applicable take aways  ,  increased effectiveness in communication and an interactive networking exercise that will leave you in empowered action ready to start the year with a bang  !  all this along with lazer sharp business growth focus  ,  top level companies attending  ,  free parking and a central location for everyone are some of the reasons why this is the best networking group in la . join us . check in is at 7.30am and the session will start at 7.45am and run until 9am. ",0.936
236508042, did you know that wilde was the winner of the most notable wine list 10 times in 2016 as voted by diners choice open table . come tonight and try our best selling wines of 2016 in flights of 3 or for 20 off bottle price . delicious wines like challen winery  's pinot noir by actress challen cates or a celeb favorite andre dezat et fils sancerre flights of 3 for 15 small plates and full dinner menu available ,0.042
qtfkkfysdbhc, premier lawyer to lawyer networking . develop your circles of referral sources . the westwood group is open to all attorneys. ,0.05
hfqwxlyvpblb," every tuesday at 8  :  30 pm  ,  we offer a meditation program for the public . our public meditations are free and consists of a 10 minute introduction to buddhism followed by a guided meditation lasting 20 30 minutes . all newcomers are welcome  !  p . s . start time can be lax ",0.054
22579441," mark your calendars for our la drupal meetup  :  tuesday  ,  june 28  ,  2011 at the corporate headquarters of in culver city  ,  ca . theme for the night  :  tbd  ,  please make suggestions  !  the meetup will begin at 7  :  00pm sharp  ,  but the doors will open at 6  :  30pm if you want to come early and network or work with a community member on a drupal related project  !  this event is free  !  and there will be raffle prizes  ,  food and drink  !   !   !  rsvp is not required  ,  but helps us know how many people to expect  ,  so please sign up here or on gdo  (   )  and receive our undying gratitude  :   )  parking amp  ;  location there is on street parking as well as a parking lot on hayden ave . media temple is a webhosting and virtualization service provider and has one of the largest virtualization deployments in north america  ,  with more than 85  ,  000 customers and more than 600  ,  000 domains on both coasts of the united states . media temple is a new venue sponsor for us but was one of our gold level sponsors at drupalcamp la 2010 . we want your feedback  !  during the meetup  ,  we  'll be gathered in the and all are welcome to join us . the event organizers will also be checking twitter for feedback and questions that mention or use the hashtag . agenda theme for the night  :  tbd please offer suggestions  !  presentations  :  1 . using dreamweaver as a development tool with drupal sharon sachse is a la drupal community member and an adobe user group manager  (  dmala co manager  )  . she creates art and expressions for the digital canvas  ,  motion and web using a suite of adobe tools in front end development. sharon will share with you her workflow using dreamweaver cs5.5 drupal . touching on drupal theming  ,  linked related files  ,  media queries and more . she will have the new dreamweaver cs5.5 the industry leading web authoring and editing software that provides both visual and code level capabilities for creating standards based websites and designs for the desktop  ,  smartphones  ,  tablets  ,  and other devices as a raffle prize for the night  !  and...  ?  do you have a presentation  ?  more coming soon.. . if you  'd like to give a lightning talk  ,  presentation  ,  announce a job position or ask any questions of the group  ,  please leave a comment below and plan to come a few minutes early . if presenting  ,  be sure to bring your laptop  (  and power and display cables  )  and whatever else you need . users helping users the meetup begins at 7pm but the doors open a little earlier at 6  :  30pm for users helping users  ,  which is a chance for members of the community to help and be helped by others with whatever questions and problems they  're having with drupal . please note that while users helping users is not designed to be a replacement for bonafide consulting from a drupal professional that there are plenty of drupal experts and professionals who attend our meetups and sometimes they need help  ,  too  !  lightning talks we have time as well for lightning talks  ,  which are 5 minute presentations from attendees who would like to share something with the group . it  'd be great if you have a lightening talk that fits with the evening  's theme  !  as always  ,  please feel welcome to leave a comment below and let others know what you  'd like to present ahead of time . job announcements and open q amp  ;  a everyone has a problem every now and then and the open q amp  ;  a session is a chance for attendees to divine answers from the collective wisdom of the group . this is also an opportunity for local businesses to make job announcements and ask for referrals and recommendations . raffle  !  prizes  !  collect them all  !  we love our sponsors and have several raffle prizes from our sponsors in the los angeles area and around the world . if you or your company would like to sponsor a raffle prize at the la drupal meetups  ,  please come early or contact the la drupal managers . breakout groups time depending  ,  at the end of the evening we  'll split up into groups  (  sometimes called bofs  ,  or birds of a feather  )  and each group can jump into a particular topic . the topics for these bofs so far have ranged from high performance websites  ,  features driven development  ,  pci compliance and general getting started discussions . wrap up and drupal after dark several of us may be going to a local restaurant or bar for a drupal after dark afterward . leave a comment below if you have ideas of a possible bar or restaurant that is nearby . looking ahead for next month  ,  if you have an idea for something you  'd like to learn  ,  post a comment below  ,  or better yet suggest a presentation idea at  !  ... and if you see a topic you  'd like to present  ,  post a comment or contact us at  !  depending on remaining time  ,  we  'll have lightning talks  ,  job announcements  ,  break out groups  ,  and networking . oh  ,  and of course raffle prizes  !  ",0.672
rnlkkmywlbwb, join with master henderson and practice  !  open your spiritual channels and receive messages from heaven  !  learn powerful practices for boosting your energy centers and more  !  l ,0.676
236293135," reminder  :  if meetup sends too many emails  ,  on the bottom of their email  ,  click on unsubscribe or manage your settings or foothill unity center invites you to help us bring some holiday cheer to some of our low income families in our communities . come join us for an afternoon of fun . register to volunteer for our holiday packing and distribution events by clicking lt  ;  a gt  ;   ;  they may also need help on thursday  ,  friday  ,  and monday in the monrovia  ,  arcadia  ,  and pasadena area . redundant reiteration  :  signing up here on meetup is insufficient . signing up with foothill unity center is required. lt  ;  a gt  ;   ;  after registering with them  ,  they can provide more info details  (  when to arrive  ,  where to park  ,  what to help with  ,  etc.  )  . as this is such a popular event for volunteers  ,  it is necessary to accept volunteer registration on a first come  ,  first served basis until the total number of needed volunteers is reached . should your registration form be received after the number of volunteers is filled  ,  another opportunity to volunteer will be available for our upcoming annual national letter carrier or back to school distribution events . for safety reasons  ,  closed toe shoes must be worn in order to volunteer . set ups  ,  clean ups and loading pallets  ,  etc. will require some heavy lifting of approximately 25 pounds or more . youth under age 14 must be accompanied by parent guardian at all times. ",0.0
dkfgwcysqbzb," when your arrive  ,  just tell security you  're going to lunch on the 2nd floor . feel free to bring your lunch or purchase something from the cafeteria before hand . to ensure the meeting  's success  ,  please abstain from anything anything noisy like potato chips  ,  granola bars  ,  or soup  (  if you slurp  )  . conference rooms 2a 2c are on the 2nd floor next to the cafeteria . our meetings will be held in one of them . the toastmasters banner will appear just outside the door . please come in  !  ",0.606
